Date,Ticker,Company,Quantity,Cost_per_share_ave,Total_cost_ave
2017-12-19,LON:HSV,Homeserve plc,63,804.38,506.76
2018-02-16,LON:LLOY,Lloyds Banking Group PLC,738,68.05,502.23
2018-04-19,LON:EXPN,Experian plc,38,1579.38,600.16
2018-07-02,LON:BBOX,Tritax Big Box REIT PLC,365,156.38,570.78
2018-09-11,LON:SMDS,DS Smith plc,103,490.21,504.92
2018-09-14,NASDAQ:SPLK,Splunk Inc,6,125,582.49
2018-10-19,NASDAQ:AMZN,"Amazon.com, Inc.",1,1780,1385.4
2018-10-19,LON:SMDS,DS Smith plc,130,433.03,1008.97
2018-11-15,LON:LLOY,Lloyds Banking Group PLC,949,60.87,1026.83
2018-11-15,LON:SMDS,DS Smith plc,149,400.83,1531.16
2018-11-15,LON:XPP,XP Power Ltd.,42,2442.29,1025.76
2019-01-08,LON:MONY,Moneysupermarket.Com Group PLC,1363,287.6,3919.99
2019-02-18,LON:BBOX,Tritax Big Box REIT PLC,182,147.6,807.38
2019-03-27,LON:SYNT,Synthomer PLC,216,376.48,813.19
2019-07-12,LON:MONY,Moneysupermarket.Com Group PLC,-394,287.6,2786.84
2019-07-25,LON:SYNT,Synthomer PLC,54,349.18,942.79
2019-08-08,LON:AV,Aviva plc,220,389.13,856.09
2019-10-16,LON:SYNT,Synthomer PLC,50,340.81,1090.6
2019-10-16,LON:XPP,XP Power Ltd.,5,2453.91,1153.34
2019-10-24,LON:PRU,Prudential plc,58,1447.08,839.3
2019-11-20,LON:BBOX,Tritax Big Box REIT PLC,136,148.75,1015.99
2019-11-20,LON:GSK,GlaxoSmithKline plc,36,1717.6,618.34
2019-11-20,LON:LLOY,Lloyds Banking Group PLC,339,60.55,1226.67
2019-11-20,LON:PRU,Prudential plc,17,1412.34,1059.26
2019-11-20,LON:SYNT,Synthomer PLC,71,332,1298.1
2019-12-18,LON:BBOX,Tritax Big Box REIT PLC,276,147.6,1415.52
2019-12-18,LON:GSK,GlaxoSmithKline plc,11,1737.88,816.8
2019-12-18,LON:PRU,Prudential plc,13,1417.64,1247.53
2019-12-23,NYSE:SHOP,Shopify Inc,2,395,620.15
2019-12-30,LON:PAY,Paypoint plc,60,1014.38,608.63
2019-12-31,LON:IEM,Impax Environmental Markets plc,180,332.55,598.58
2020-01-08,LON:UKW,Greencoat UK Wind PLC,397,150.84,598.83
2020-01-15,LON:BBOX,Tritax Big Box REIT PLC,141,146.8,1614.76
2020-01-15,LON:IEM,Impax Environmental Markets plc,59,333.76,797.69
2020-01-15,LON:SMDS,DS Smith plc,54,396.58,1729.09
2020-03-02,NYSE:MA,Mastercard Inc,4,290,921.79
2020-03-09,LON:JET,Just Eat Takeaway.com NV,7,7271.43,509
2020-03-09,LON:LMP,Londonmetric Property PLC,389,208.139,809.66
2020-03-11,NYSE:SHOP,Shopify Inc,2,405,1289.32
2020-03-12,NYSE:MA,Mastercard Inc,3,271.14,1513.8
2020-03-16,LON:PRU,Prudential plc,114,1020.39,2061.2
2020-03-16,LON:SYNT,Synthomer PLC,373,276.41,2111.75
2020-03-18,NYSE:SHOP,Shopify Inc,3,366.43,2161.74
2020-03-18,LON:PRU,Prudential plc,111,913.29,2858.6
