Date,Ticker,Company,Quantity,Cost_per_share_ave,Total_cost_ave
2017-12-01,LON:JE,Just Eat,62,820.96,509
2017-12-19,LON:HSV,Homeserve plc,63,804.38,506.76
2018-02-16,LON:LLOY,Lloyds Banking Group PLC,738,68.05,502.23
2018-04-19,LON:EXPN,Experian plc,38,1579.38,600.16
2018-07-02,LON:BBOX,Tritax Big Box REIT PLC,365,156.38,570.78
2018-09-11,LON:SMDS,DS Smith plc,103,490.21,504.92
2018-09-14,NASDAQ:SPLK,Splunk Inc,6,10095.42,605.73
2018-10-19,NASDAQ:AMZN,"Amazon.com, Inc.",1,143758.81,"1,437.59"
2018-10-19,LON:SMDS,DS Smith plc,130,433.03,"1,008.97"
2018-11-15,LON:LLOY,Lloyds Banking Group PLC,949,60.87,"1,026.83"
2018-11-15,LON:SMDS,DS Smith plc,149,400.83,"1,531.16"
2018-11-15,LON:XPP,XP Power Ltd.,42,2442.29,"1,025.76"
2019-01-08,LON:MONY,Moneysupermarket.Com Group PLC,1363,287.6,"3,919.99"
2019-02-18,LON:BBOX,Tritax Big Box REIT PLC,182,147.6,807.38
2019-03-27,LON:SYNT,Synthomer PLC,216,376.48,813.19
2019-07-12,LON:MONY,Moneysupermarket.Com Group PLC,-394,287.6,"2,786.84"
2019-07-15,LON:HSTN,Hansteen,950,97.87,929.76
2019-07-25,LON:SYNT,Synthomer PLC,54,349.18,942.79
2019-08-08,LON:AV,Aviva plc,220,389.13,856.09
2019-10-16,LON:HSTN,Hansteen,159,97.31,"1,079.16"
2019-10-16,LON:SYNT,Synthomer PLC,50,340.81,"1,090.60"
2019-10-16,LON:XPP,XP Power Ltd.,5,2453.91,"1,153.34"
2019-10-24,LON:PRU,Prudential plc,58,1447.08,839.3
2019-11-20,LON:BBOX,Tritax Big Box REIT PLC,136,148.75,"1,015.99"
2019-11-20,LON:GSK,GlaxoSmithKline plc,36,1717.6,618.34
2019-11-20,LON:LLOY,Lloyds Banking Group PLC,339,60.55,"1,226.67"
2019-11-20,LON:PRU,Prudential plc,17,1412.34,"1,059.26"
2019-11-20,LON:SYNT,Synthomer PLC,71,332,"1,298.10"
2019-12-18,LON:BBOX,Tritax Big Box REIT PLC,276,147.6,"1,415.52"
2019-12-18,LON:GSK,GlaxoSmithKline plc,11,1737.88,816.8
2019-12-18,LON:PRU,Prudential plc,13,1417.64,"1,247.53"
2019-12-23,NYSE:SHOP,Shopify Inc,2,30227.9,604.58
2019-12-30,LON:PAY,Paypoint plc,60,1014.38,608.63
2019-12-31,LON:IEM,Impax Environmental Markets plc,180,332.55,598.58
2020-01-08,LON:UKW,Greencoat UK Wind PLC,397,150.84,598.83
